first_name,last_name,gender,age,job,tea_or_coffee,rice_or_pasta,hot_dog_or_burger,cat_or_dog
Aubree,Tidder,Female,67,Systems Administrator IV,tea,pasta,hot dog,cat
Agosto,Croot,Male,20,Actuary,coffee,pasta,burger,cat
Rube,Shurman,Genderfluid,36,Paralegal,coffee,pasta,burger,dog
Brook,Sarra,Male,39,Engineer I,tea,pasta,hot dog,cat
Curr,Penni,Male,44,Office Assistant II,coffee,rice,hot dog,cat
Dene,Oades,Male,76,Product Engineer,tea,rice,hot dog,cat
Eric,Burnyate,Male,47,Design Engineer,coffee,pasta,hot dog,cat
Hedwiga,Pittaway,Female,70,Legal Assistant,coffee,rice,burger,dog
Virgie,Tilley,Male,77,Software Test Engineer II,coffee,rice,burger,dog
Goober,Fratczak,Male,38,Analyst Programmer,coffee,pasta,burger,dog
Vince,Callaby,Male,52,Information Systems Manager,tea,pasta,hot dog,cat
Gabriell,Bruty,Female,54,Electrical Engineer,coffee,pasta,burger,cat
Caresse,Lammers,Female,79,Senior Financial Analyst,coffee,rice,burger,cat
Genovera,Eadmead,Female,63,Director of Sales,coffee,rice,hot dog,cat
Munroe,Block,Male,79,Research Associate,coffee,rice,hot dog,dog
Fawn,Ottewell,Female,46,Database Administrator III,coffee,rice,burger,dog
Dalila,Marson,Non-binary,60,Nuclear Power Engineer,tea,pasta,burger,dog
Sydney,Antonsen,Male,34,Software Consultant,tea,pasta,burger,dog
Harlie,Tunnadine,Genderqueer,23,Human Resources Assistant I,coffee,rice,hot dog,dog
Mycah,Ramsby,Male,90,Senior Quality Engineer,tea,pasta,hot dog,dog
Jessee,Turpey,Male,37,Senior Sales Associate,coffee,rice,burger,cat
Franzen,Neasham,Male,32,Administrative Officer,tea,rice,hot dog,dog
Berthe,Maskew,Female,20,Software Engineer II,tea,rice,hot dog,dog
Coral,Luety,Female,32,Software Test Engineer II,tea,rice,burger,cat
Michal,Moon,Female,21,VP Quality Control,coffee,rice,hot dog,cat
Salome,Jinkin,Female,25,GIS Technical Architect,tea,rice,burger,dog
Hart,Nealy,Male,50,Tax Accountant,coffee,rice,hot dog,cat
Giff,Best,Male,81,Analog Circuit Design manager,coffee,rice,burger,cat
Bernelle,Harmar,Female,58,Cost Accountant,coffee,pasta,burger,dog
Finn,Coniff,Male,26,GIS Technical Architect,coffee,pasta,hot dog,dog
Zea,Insko,Female,89,VP Quality Control,tea,rice,hot dog,dog
Dav,Downton,Male,57,Clinical Specialist,tea,pasta,hot dog,dog
Arliene,Pipkin,Female,57,Occupational Therapist,coffee,pasta,burger,dog
Reese,Brasier,Male,29,Senior Sales Associate,coffee,rice,hot dog,cat
Ferris,Ramelet,Male,30,Compensation Analyst,coffee,rice,hot dog,cat
Aimil,Tinmouth,Female,52,VP Accounting,coffee,rice,hot dog,dog
Anthe,Kuhnert,Genderqueer,35,Structural Engineer,coffee,pasta,burger,dog
Guenna,Radbourn,Female,50,Desktop Support Technician,tea,rice,hot dog,dog
Mar,Ambrosini,Male,48,Social Worker,tea,rice,hot dog,dog
Lindsey,Swadling,Female,80,Programmer Analyst I,tea,pasta,hot dog,cat
Twyla,Doby,Polygender,88,VP Accounting,coffee,rice,hot dog,cat
